generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
86,50,1.677055293742428,0.39357191169017325,6.282065001829044,18,17,15
87,55,1.332092830168168,0.3964409502125021,6.16975039806773,10,18,27
88,38,1.0003064415464284,0.40234345670374266,6.200686493026944,10,7,21
89,28,1.7315377192873054,0.4048183019016423,6.111113481192667,11,4,13
90,30,2.025983027251775,0.4070793689812659,6.078841602180768,13,4,13
91,36,1.6614349646590525,0.4088466812410664,6.077604925256181,12,5,19
92,32,1.9106949497443222,0.41657767850333743,6.2057094876673,15,4,13
93,36,2.0379713649147737,0.4085039619465769,6.1326955824475755,17,12,7
94,47,1.6401924682557685,0.41053794079743233,6.202756925300592,14,12,21
95,45,1.7694598060864497,0.40639963144691704,6.154416232851471,17,7,21
96,45,1.7587519631421242,0.4000861463223562,6.054913727080388,20,7,18
97,50,1.1618719218564366,0.40509981799807754,6.110683427713753,9,14,27
98,35,1.7440491179222999,0.4161182148013182,6.097206277129521,11,10,14
99,33,1.9410916333269763,0.424533815856943,6.140556114108242,14,5,14
100,35,1.9582248532403537,0.43116325302690084,6.026802075423548,19,5,11
101,45,1.5881099052299514,0.42588406122891437,5.986753876935683,16,10,19
102,43,1.7736553306481615,0.43822335822055997,5.928776545819934,19,5,19
103,45,1.8450295212089525,0.4515481005068847,5.869313150498403,20,7,18
104,50,1.6412944576430615,0.45309204574567863,5.817689309388834,18,12,20
105,51,1.678661780497377,0.4626944188444543,5.77344216454766,21,7,23
106,51,1.7887926796541769,0.4818700212579379,5.688000229169645,15,17,19
107,49,1.7581197274711948,0.4843596690916471,5.709530975869629,17,9,23
108,47,1.7387209699368305,0.4886380421343874,5.668613437278398,17,8,22
109,45,1.8133624332968534,0.48706432576989184,5.7290157554037755,15,6,24
110,42,1.8962884203147234,0.49256124398278966,5.6496053312538725,20,8,14
111,50,1.343649133113591,0.49313931560772234,5.771378455929555,13,12,25
112,39,2.0145172786271397,0.4943786789459166,5.836301153638887,15,10,14
113,44,1.877938546495361,0.4989422815309322,5.670390406288371,18,8,18
114,45,1.614567014731499,0.5020527703590247,5.702292355810809,16,5,24
115,42,1.9757069843357686,0.5134827301643394,5.488293439763076,15,6,21
116,42,1.9497656699033132,0.5299690631343792,5.509230840916331,17,12,13
117,48,1.846736078068095,0.5357571454430076,5.468704990798819,16,15,17
118,50,1.676649294411477,0.5356398685623472,5.3612932674266,15,6,29
119,41,1.9951237875954482,0.5409469795189429,5.405473625253287,17,10,14
120,47,1.8867144759194945,0.5420651659515372,5.222553672577078,20,8,19
121,51,1.6970903838321167,0.5451101612668395,5.2034386936087405,18,15,18
122,53,1.7079613912506475,0.5449078686866952,5.279456598408097,17,16,20
123,52,1.725236536970523,0.5498689980919544,5.269073404406779,20,10,22
124,51,1.7467564389101158,0.5511347661493571,5.074643449152895,20,11,20
125,53,1.7465559405174471,0.5579871041586116,5.023824988408657,16,19,18
126,51,1.5282153393607514,0.5629903167661966,5.062482073020051,14,15,22
127,45,1.6731171612635536,0.5694585504601462,4.975888597633777,16,11,18
128,47,1.7448911469119166,0.5666918775839972,5.042387291515952,18,11,18
129,50,1.8347676496543548,0.5709140374476861,5.037190215327666,16,13,21
130,48,1.9356194357918015,0.5748336699979851,5.021853624238523,20,7,21
131,48,1.8583050921236712,0.5849041501738665,5.070297994113114,16,17,15
132,51,1.8461036427356454,0.5817929879012501,5.051722874591863,17,17,17
