generation,amount_creatures,average_energy,average_speed,average_sense
58,31,1.096777695872983,1.2877180175594782,1.2018385860749219
59,26,1.5305539428291608,1.300888975741747,1.2202546597207182
60,31,1.5380656383390068,1.2869554068314404,1.240059000920363
61,40,0.9709505377309494,1.2937664532973554,1.2400737629283698
62,31,1.4416483092572943,1.285466071199784,1.241910120799819
63,35,1.0157207466076803,1.2790475069609184,1.2340789849736398
64,26,1.6520698567515255,1.2858411079169636,1.2397798421486985
65,31,1.3338022092195372,1.296076097842857,1.2549660252462291
66,32,1.1462485382178076,1.2929601218487607,1.2421529477579807
67,29,1.540047401066788,1.2779973254506225,1.2302970207176547
68,36,1.2161843451848537,1.2804406272433004,1.2251353181056297
69,32,1.345351411526129,1.2819431939369232,1.2304562169817732
70,31,1.5107672483183028,1.267072779960997,1.2754843303379324
71,37,1.125900809393819,1.2682715829642988,1.282798640058152
72,32,1.3549073179954425,1.2860186944809402,1.2945192876723202
73,33,1.295584193710326,1.3074132719079077,1.3157897057102759
74,33,1.0796237898332708,1.3133475509655639,1.3137719139106758
75,26,1.6150360472900034,1.2969802047058612,1.338096172055978
76,32,1.16618126107775,1.3025922447912743,1.3622480713304213
77,33,1.1879544621183065,1.3098597992640155,1.3653797607612992
78,32,1.036442159729763,1.297110164331123,1.3926523210228605
79,27,1.611751976301039,1.3037551672012162,1.3950144327713476
80,34,1.325770420338507,1.3098780782969988,1.3892549380323502
81,37,1.1764501725801064,1.3072123518025571,1.3794392112717972
82,37,0.9874402236128235,1.3050908456431498,1.3841323150451006
83,31,1.2525485413232953,1.3055326924776927,1.3978898421361428
84,30,1.209264989941725,1.2736370021961956,1.4185922691429782
85,29,1.0975412602404706,1.268805230031505,1.4721288320528774
86,26,1.3635148224305,1.2883241383179747,1.4326893117088808
87,29,1.1302430941659667,1.2762416226369278,1.4579218082409953
88,26,1.3925370530477785,1.2739382241936201,1.5014625519166809
89,27,1.4353136825840864,1.252272981086048,1.497471508628433
90,34,1.2482387438112148,1.2538804767131189,1.4964007906741965
